"coord1" "coord2" "coord1.norm" "coord2.norm" "spotID" "histology" "histology_color"
"ST187" 18 33 1.05285714285714 1.83807692307692 "ST187" "Cancer cells and desmoplasia" "red"
"ST188" 18 34 1.05285714285714 1.90923076923077 "ST188" "Cancer cells and desmoplasia" "red"
"ST189" 19 13 1.11357142857143 0.415 "ST189" "Interstitium" "green"
"ST190" 19 14 1.11357142857143 0.486153846153846 "ST190" "Interstitium" "green"
"ST191" 19 15 1.11357142857143 0.557307692307692 "ST191" "Interstitium" "green"
"ST192" 19 17 1.11357142857143 0.699615384615385 "ST192" "Interstitium" "green"
"ST193" 19 18 1.11357142857143 0.770769230769231 "ST193" "Interstitium" "green"
"ST194" 19 19 1.11357142857143 0.841923076923077 "ST194" "Normal pancreatic tissue" "blue"
"ST195" 19 20 1.11357142857143 0.913076923076923 "ST195" "Interstitium" "green"
"ST196" 19 21 1.11357142857143 0.984230769230769 "ST196" "Interstitium" "green"
"ST197" 19 22 1.11357142857143 1.05538461538462 "ST197" "Normal pancreatic tissue" "blue"
"ST198" 19 23 1.11357142857143 1.12653846153846 "ST198" "Normal pancreatic tissue" "blue"
"ST199" 19 24 1.11357142857143 1.19769230769231 "ST199" "Normal pancreatic tissue" "blue"
"ST200" 19 25 1.11357142857143 1.26884615384615 "ST200" "Interstitium" "green"
"ST201" 19 26 1.11357142857143 1.34 "ST201" "Interstitium" "green"
"ST202" 19 27 1.11357142857143 1.41115384615385 "ST202" "Interstitium" "green"
"ST203" 19 28 1.11357142857143 1.48230769230769 "ST203" "Cancer cells and desmoplasia" "red"
"ST204" 19 29 1.11357142857143 1.55346153846154 "ST204" "Cancer cells and desmoplasia" "red"
"ST205" 19 30 1.11357142857143 1.62461538461538 "ST205" "Cancer cells and desmoplasia" "red"
"ST206" 19 31 1.11357142857143 1.69576923076923 "ST206" "Cancer cells and desmoplasia" "red"
"ST207" 19 32 1.11357142857143 1.76692307692308 "ST207" "Cancer cells and desmoplasia" "red"
"ST208" 19 33 1.11357142857143 1.83807692307692 "ST208" "Cancer cells and desmoplasia" "red"
"ST209" 19 34 1.11357142857143 1.90923076923077 "ST209" "Cancer cells and desmoplasia" "red"
"ST210" 20 13 1.17428571428571 0.415 "ST210" "Interstitium" "green"
"ST211" 20 14 1.17428571428571 0.486153846153846 "ST211" "Interstitium" "green"
"ST212" 20 15 1.17428571428571 0.557307692307692 "ST212" "Interstitium" "green"
"ST213" 20 16 1.17428571428571 0.628461538461538 "ST213" "Interstitium" "green"
"ST214" 20 17 1.17428571428571 0.699615384615385 "ST214" "Interstitium" "green"
"ST215" 20 18 1.17428571428571 0.770769230769231 "ST215" "Interstitium" "green"
"ST216" 20 19 1.17428571428571 0.841923076923077 "ST216" "Interstitium" "green"
"ST217" 20 20 1.17428571428571 0.913076923076923 "ST217" "Interstitium" "green"
"ST218" 20 21 1.17428571428571 0.984230769230769 "ST218" "Interstitium" "green"
"ST219" 20 22 1.17428571428571 1.05538461538462 "ST219" "Normal pancreatic tissue" "blue"
"ST220" 20 23 1.17428571428571 1.12653846153846 "ST220" "Normal pancreatic tissue" "blue"
"ST221" 20 24 1.17428571428571 1.19769230769231 "ST221" "Interstitium" "green"
"ST222" 20 25 1.17428571428571 1.26884615384615 "ST222" "Interstitium" "green"
